source,target,type,reason
Polynomial Functions,Linear Functions,prerequisite,"Linear functions are the simplest polynomials (degree 1), so understanding them first helps grasp the general polynomial concept."
Polynomial Functions,Power Functions,uses,Polynomials are built by adding together multiple power functions with different exponents.
Rational Functions,Polynomial Functions,prerequisite,"Rational functions are ratios of polynomials, so you must understand polynomials to work with their quotients."
Algebraic Functions,Polynomial Functions,prerequisite,"Algebraic functions extend polynomials by adding root operations, so polynomial understanding comes first."
Logarithmic Functions,Exponential Functions,prerequisite,"Logarithms are defined as the inverse of exponential functions, requiring exponential understanding first."
Piecewise-Defined Functions,Absolute Value Function,uses,The absolute value function is naturally expressed as a piecewise function with two cases.
Limit Notation,Limit of a Function,prerequisite,Understanding the notation is essential before working with the limit concept itself.
One-Sided Limits,Limit of a Function,prerequisite,One-sided limits are the building blocks for defining two-sided limits.
Limit Existence Condition,One-Sided Limits,uses,This condition requires comparing the values of left-hand and right-hand limits.
Numerical Limit Estimation,Limit of a Function,uses,This method provides an approximate way to find limit values.
Graphical Limit Analysis,Limit of a Function,uses,Visual inspection of graphs is an alternative approach to determining limits.
Limits at Discontinuities,Limit of a Function,uses,This concept applies limit definitions to specific problematic points.
Infinite Limits,Limit of a Function,related_to,Infinite limits are a special case where the limit value is unbounded rather than finite.
Limits of Piecewise Functions,Piecewise-Defined Functions,uses,Evaluating these limits requires understanding how piecewise function formulas change at boundaries.
Limits of Piecewise Functions,One-Sided Limits,uses,Piecewise boundaries require checking limits from each side using different piece formulas.
Limits at Discontinuities,One-Sided Limits,uses,Discontinuities often require analyzing left and right limits separately to understand behavior.
Graphical Limit Analysis,One-Sided Limits,uses,Graphs clearly show when approaching from different sides yields different limit values.
Domain and Range,Function Definition and Notation,prerequisite,Understanding what a function is must precede identifying its domain and range.
Vertical Line Test,Function Definition and Notation,uses,The vertical line test determines whether a graph satisfies the definition of a function.
Function Composition,Function Definition and Notation,prerequisite,Understanding function notation and evaluation is required before composing functions.
Function Composition,Domain and Range,uses,The domain of a composition depends on the domains and ranges of the component functions.
Even and Odd Functions,Function Definition and Notation,prerequisite,Evaluating f(-x) requires understanding function notation and substitution.
Function Transformations,Function Definition and Notation,prerequisite,Understanding parent functions is necessary before learning how transformations modify them.
One-to-One Functions,Function Definition and Notation,prerequisite,The one-to-one property is a special case that builds on the basic function definition.
Inverse Functions,One-to-One Functions,prerequisite,Only one-to-one functions have inverses that are also functions.
Inverse Functions,Function Composition,uses,The inverse function definition involves composing a function with its inverse.
Function Transformations,Linear Functions,related_to,Linear functions serve as simple examples for understanding shifts and stretches.
Inverse Functions,Exponential Functions,related_to,Exponential and logarithmic functions are inverse pairs that illustrate the inverse concept.
Inverse Functions,Logarithmic Functions,related_to,Logarithmic functions are inverses of exponential functions.
Unit Circle Definition,Radian Measure,prerequisite,The unit circle uses radian measure as the standard for angle measurement.
Sine and Cosine Functions,Unit Circle Definition,prerequisite,Sine and cosine are defined using coordinates on the unit circle.
Tangent and Cotangent Functions,Sine and Cosine Functions,prerequisite,Tangent and cotangent are defined as ratios of sine and cosine.
Secant and Cosecant Functions,Sine and Cosine Functions,prerequisite,Secant and cosecant are reciprocals of cosine and sine respectively.
Pythagorean Identities,Unit Circle Definition,prerequisite,The Pythagorean identities follow from the equation of the unit circle x² + y² = 1.
Pythagorean Identities,Sine and Cosine Functions,uses,The identity sin²θ + cos²θ = 1 directly relates sine and cosine values.
Graphs of Trigonometric Functions,Sine and Cosine Functions,prerequisite,Understanding sine and cosine values is necessary to plot their graphs.
Graphs of Trigonometric Functions,Periodicity of Trigonometric Functions,uses,The periodic nature determines the repeating pattern visible in trigonometric graphs.
Domain and Range of Trigonometric Functions,Sine and Cosine Functions,uses,Finding domains and ranges requires understanding where each trigonometric function is defined and bounded.
Domain and Range of Trigonometric Functions,Domain and Range,prerequisite,Understanding general domain and range concepts is necessary for analyzing trigonometric functions.
Periodicity of Trigonometric Functions,Sine and Cosine Functions,uses,Periodicity describes how sine and cosine repeat their values at regular intervals.
Horizontal Line Test,One-to-One Functions,prerequisite,The horizontal line test determines whether a function satisfies the one-to-one property.
Horizontal Line Test,Vertical Line Test,related_to,"Both are graphical tests for function properties, testing horizontal versus vertical intersections."
Inverse Function Definition,One-to-One Functions,prerequisite,A function must be one-to-one to have an inverse function.
Inverse Function Definition,Function Composition,uses,The inverse property is defined using composition: f⁻¹(f(x)) = x.
Domain and Range of Inverses,Inverse Function Definition,prerequisite,Understanding inverses is necessary before determining their domains and ranges.
Domain and Range of Inverses,Domain and Range,uses,Finding domains and ranges of inverses requires understanding these fundamental concepts.
Reflection Property of Inverses,Inverse Function Definition,prerequisite,The reflection property describes the geometric relationship of a function and its inverse.
Restricting Domains for Invertibility,Horizontal Line Test,uses,Domain restriction creates a one-to-one portion that passes the horizontal line test.
Verifying Inverse Functions Algebraically,Inverse Function Definition,uses,Verification applies the definition by checking both composition properties.
Verifying Inverse Functions Algebraically,Function Composition,uses,Verification requires composing functions in both orders.
Finding Inverse Functions Algebraically,Inverse Function Definition,prerequisite,The algebraic method implements the definition of inverse functions.
Inverse Trigonometric Functions,Restricting Domains for Invertibility,uses,Trigonometric functions require domain restrictions to be invertible.
Inverse Trigonometric Functions,Trigonometric Functions,prerequisite,"Understanding sine, cosine, and tangent is necessary before studying their inverses."
Exponential Function Properties,Exponential Functions,prerequisite,Basic exponential function concept must be understood before studying its detailed properties.
Natural Exponential Function,Exponential Function Properties,uses,The natural exponential e^x is a specific case applying general exponential properties.
Exponential Growth and Decay,Exponential Function Properties,uses,Growth and decay models apply exponential properties to real-world scenarios.
Logarithm as Inverse Exponential,Exponential Function Properties,prerequisite,Understanding exponential functions is essential before defining their inverse.
Logarithm as Inverse Exponential,Inverse Functions,prerequisite,The logarithm is defined as the inverse of the exponential function.
Natural Logarithm Properties,Logarithm as Inverse Exponential,uses,Natural logarithm is a specific logarithm using the inverse relationship with e^x.
Natural Logarithm Properties,Natural Exponential Function,uses,Natural logarithm is specifically the inverse of the natural exponential function.
Logarithmic Function Properties,Logarithm as Inverse Exponential,uses,Logarithmic properties derive from the inverse exponential relationship.
Change of Base Formula,Logarithmic Function Properties,uses,Change of base formula applies logarithmic properties to convert between bases.
Graphs of Exponential Functions,Exponential Function Properties,uses,Graphical features reflect the algebraic properties of exponential functions.
Graphs of Logarithmic Functions,Logarithm as Inverse Exponential,uses,Logarithmic graphs are reflections of exponential graphs due to the inverse relationship.
Graphs of Logarithmic Functions,Reflection Property of Inverses,uses,Logarithmic and exponential graphs are symmetric about y = x as inverse functions.
Secant Line Approximation,Function Definition and Notation,prerequisite,"Secant lines connect two points on a function, requiring understanding of function notation to express those points."
Tangent Line Problem,Secant Line Approximation,uses,The tangent line is found by taking the limit of secant lines as the two points converge.
Instantaneous Rate of Change,Tangent Line Problem,related_to,The instantaneous rate of change is geometrically represented by the slope of the tangent line.
