id,description,hint,difficulty,volume,chapter,section
Linear Functions,"Functions of the form f(x) = mx + b where m is the slope and b is the y-intercept, producing straight-line graphs.","The coefficient of x tells you how steep the line is, and the constant tells you where it crosses the y-axis.",1,1,Functions and Graphs,1.2 Basic Classes of Functions
Polynomial Functions,"Functions formed by sums of power functions with non-negative integer exponents, written as f(x) = aₙxⁿ + aₙ₋₁xⁿ⁻¹ + ... + a₁x + a₀.",The highest power (degree) determines the end behavior and maximum number of turning points.,2,1,Functions and Graphs,1.2 Basic Classes of Functions
Rational Functions,"Functions expressed as the ratio of two polynomials, f(x) = p(x)/q(x), where q(x) ≠ 0.",Look for values where the denominator equals zero — these create vertical asymptotes or holes.,3,1,Functions and Graphs,1.2 Basic Classes of Functions
Algebraic Functions,"Functions constructed using algebraic operations (addition, subtraction, multiplication, division, roots) on polynomials.","If you see a root symbol or fractional exponent combined with polynomials, you likely have an algebraic function.",2,1,Functions and Graphs,1.2 Basic Classes of Functions
Exponential Functions,"Functions of the form f(x) = bˣ where b > 0, b ≠ 1, with the variable in the exponent.",The base stays constant while the exponent varies — this creates rapid growth (b > 1) or decay (0 < b < 1).,2,1,Functions and Graphs,1.2 Basic Classes of Functions
Logarithmic Functions,"Functions of the form f(x) = logᵦ(x), the inverse of exponential functions, answering 'what power gives x?'",Remember logᵦ(x) asks 'b to what power equals x?' and is only defined for positive x.,3,1,Functions and Graphs,1.2 Basic Classes of Functions
Trigonometric Functions,"Functions including sine, cosine, tangent and their reciprocals, originally defined from right triangle ratios and extended to all real numbers.",These functions repeat their values in regular intervals (periods) — use the unit circle for angles beyond 0 to 90 degrees.,2,1,Functions and Graphs,1.2 Basic Classes of Functions
Power Functions,"Functions of the form f(x) = xⁿ where n is any real number, with the variable as the base.","Unlike exponentials, here the base changes while the exponent stays fixed — even powers create parabola-like shapes.",2,1,Functions and Graphs,1.2 Basic Classes of Functions
Piecewise-Defined Functions,"Functions defined by different formulas on different intervals of the domain, often written with cases.","Evaluate by first determining which interval your x-value falls in, then use only that formula.",2,1,Functions and Graphs,1.2 Basic Classes of Functions
Absolute Value Function,"The function f(x) = |x| that returns the distance from zero, creating a V-shaped graph.","Split into cases: |x| = x when x ≥ 0, and |x| = -x when x < 0.",1,1,Functions and Graphs,1.2 Basic Classes of Functions
Limit of a Function,"The value that f(x) approaches as x approaches a specific value, denoted lim(x→a) f(x) = L.","Focus on where f(x) is heading as x gets close to a, not necessarily what f(a) equals.",2,1,Limits,2.2 The Limit of a Function
One-Sided Limits,Limits approached from only the left (x→a⁻) or only the right (x→a⁺) of a point.,Check behavior separately from each direction; left-hand and right-hand limits may differ at discontinuities.,3,1,Limits,2.2 The Limit of a Function
Limit Existence Condition,A limit exists at x = a if and only if both one-sided limits exist and are equal.,"If lim(x→a⁻) f(x) ≠ lim(x→a⁺) f(x), the two-sided limit does not exist.",3,1,Limits,2.2 The Limit of a Function
Numerical Limit Estimation,Approximating limits by evaluating f(x) at values progressively closer to the target point.,Create a table with x-values approaching from both sides and observe the pattern in f(x) values.,2,1,Limits,2.2 The Limit of a Function
